Respondent_ID,Age_Group,Generation,Gender,Region,Income_Level,Urban_Rural,Trust_In_Brands,Price_Sensitivity,Quality_Over_Price,Sustainability_Important,Brand_Loyalty,Try_New_Products,Online_Shopping_Preference,Social_Media_Influence,Canadian_Made_Important,Feel_Good_Purchase,Monthly_Discretionary_Spend,Purchase_Frequency_QSR,Coffee_Shop_Visits_Week,Online_Purchases_Month,Survey_Date,Survey_Method,Response_Quality_Score
R00001,65+,Boomers,Male,Ontario,$150k+,Suburban,3,4,4,2,2,5,2,1,5,2,$1000+,Monthly,7,19,2026-01-17,Online Panel,0.86
R00002,55-64,Boomers,Prefer not to say,Ontario,<$30k,Urban,4,5,2,2,5,2,4,3,3,4,$1000+,Rarely,2,7,2026-01-14,Phone,0.77
R00003,25-34,Millennials,Prefer not to say,Manitoba,<$30k,Urban,2,3,3,2,5,4,2,3,2,5,$1000+,Weekly,7,18,2026-02-06,Online Panel,0.61
R00004,18-24,Gen Z,Prefer not to say,Quebec,$50k-$75k,Suburban,2,3,5,4,2,5,4,3,5,3,$1000+,2-3x/month,5,5,2026-02-07,Online Panel,0.9
R00005,55-64,Boomers,Non-binary,Saskatchewan,$100k-$150k,Urban,2,4,5,2,2,3,2,3,4,5,<$100,Daily,3,0,2026-02-07,Mobile App,0.67
R00006,18-24,Gen Z,Prefer not to say,Manitoba,$75k-$100k,Rural,2,3,3,4,3,3,4,3,4,5,$100-$250,Rarely,7,14,2026-01-19,Online Panel,0.74
R00007,55-64,Boomers,Female,Alberta,$30k-$50k,Suburban,4,4,4,2,3,3,2,1,3,2,<$100,Rarely,0,10,2026-01-19,Email,0.74
R00008,18-24,Gen Z,Female,Ontario,$50k-$75k,Suburban,2,4,4,3,4,3,4,3,2,5,$1000+,Weekly,3,6,2026-01-16,Mobile App,0.85
R00009,65+,Boomers,Prefer not to say,Atlantic,$150k+,Suburban,5,3,5,3,5,3,2,1,5,4,$500-$1000,Rarely,1,1,2026-01-18,Phone,0.87
R00010,55-64,Boomers,Prefer not to say,Saskatchewan,$30k-$50k,Urban,4,4,2,3,4,3,2,2,3,3,<$100,Rarely,3,9,2026-02-04,Mobile App,0.72
