Respondent_ID,Age,Gender,Region,Segment,Primary_Passion,Secondary_Passion,Key_Behavior_1,Key_Behavior_2,Social_Media_Hours_Day,Online_Shopping_Month,Avg_Order_Value,Brand_Switches_Year,Influencer_Trust,Sustainability_Score,Price_Sensitivity,Quality_Willingness_Pay,Experience_Over_Things,TikTok_User,Instagram_User,YouTube_Hours_Week,Podcast_Listener,Traditional_TV,Fast_Fashion_Buyer,Resale_Platform_User,Subscription_Services,Impulse_Buyer_Score
GZ00001,20,Female,Alberta,Experience Seekers,Adventure,Adventure,Spend on experiences,FOMO-driven,6.7,19,178.68,2,3,1,3,5,3,1,0,7.8,0,1,0,1,3,3
GZ00002,20,Male,Territories,Wellness Focused,Nutrition,Nutrition,Premium health products,Self-care priority,3.2,9,93.78,9,2,2,4,2,3,0,1,19.9,0,0,1,1,5,5
GZ00003,21,Male,Ontario,Experience Seekers,Music Festivals,Travel,Spend on experiences,FOMO-driven,4.7,9,37.43,11,3,3,3,4,2,0,1,13.8,0,1,0,0,1,2
GZ00004,25,Female,Saskatchewan,Creative Expressors,Art,Music,Brand as identity,Unique purchases,3.1,3,53.31,1,3,2,5,5,2,1,1,29.4,1,1,0,0,0,2
GZ00005,21,Male,Manitoba,Creative Expressors,Art,Music,Brand as identity,Unique purchases,6.1,15,76.31,9,2,1,4,2,5,1,1,7.2,1,1,1,0,5,1
GZ00006,25,Non-binary,British Columbia,Side Hustlers,Finance,Learning,Value-conscious,ROI-focused,2.5,12,62.61,3,5,4,2,3,5,0,0,6.8,0,0,0,1,6,1
GZ00007,22,Male,Ontario,Eco Warriors,Organic Food,Sustainability,Buy sustainable,Conscious consumption,7.0,10,103.27,1,3,3,4,5,5,0,0,14.0,1,1,0,0,4,3
GZ00008,22,Female,British Columbia,Side Hustlers,Finance,Entrepreneurship,Value-conscious,ROI-focused,4.9,16,131.7,7,3,5,5,2,1,0,0,17.0,0,1,0,0,1,4
GZ00009,22,Non-binary,Alberta,Digital Natives,Gaming,Tech,High online shopping,Influencer-driven,6.8,10,57.73,0,3,3,4,3,5,0,1,21.9,0,1,0,0,7,5
GZ00010,24,Non-binary,Quebec,Side Hustlers,Learning,Finance,Value-conscious,ROI-focused,6.4,7,47.03,2,3,3,4,5,1,1,0,19.7,1,1,1,1,6,2
GZ00011,23,Male,Ontario,Wellness Focused,Fitness,Fitness,Premium health products,Self-care priority,7.9,3,81.89,7,5,2,3,1,3,1,0,7.8,0,1,0,0,1,4
GZ00012,25,Male,Territories,Wellness Focused,Fitness,Mindfulness,Premium health products,Self-care priority,4.6,12,80.52,14,3,2,5,4,3,0,1,26.6,1,0,1,0,4,4
GZ00013,22,Male,Territories,Eco Warriors,Sustainability,Organic Food,Buy sustainable,Conscious consumption,2.5,6,113.21,5,1,1,4,2,3,0,0,10.2,0,1,1,1,3,5
GZ00014,23,Female,Atlantic,Experience Seekers,Adventure,Music Festivals,Spend on experiences,FOMO-driven,3.7,9,102.8,5,2,4,1,4,1,1,1,25.9,1,1,0,0,7,1
